cat_id,num_images,has_info,extensions
cat_226590,9,True,"['.png', '.jpg']"
cat_226591,9,True,"['.png', '.jpg']"
cat_226600,4,True,"['.png', '.jpg']"
cat_226605,6,True,"['.png', '.jpg']"
cat_226608,8,True,"['.png', '.jpg']"
cat_226610,8,True,"['.png', '.jpg']"
cat_226622,9,True,"['.png', '.jpg']"
cat_226625,9,True,"['.png', '.jpg']"
cat_226626,9,True,"['.png', '.jpg']"
cat_226627,9,True,"['.png', '.jpg']"
cat_226630,9,True,"['.png', '.jpg']"
cat_226635,8,True,"['.png', '.jpg']"
cat_226640,7,True,"['.png', '.jpg']"
cat_226642,6,True,"['.png', '.jpg']"
cat_226645,6,True,"['.png', '.jpg']"
cat_226650,7,True,"['.png', '.jpg']"
cat_226657,4,True,"['.png', '.jpg']"
cat_226660,5,True,"['.png', '.jpg']"
cat_226661,8,True,"['.png', '.jpg']"
cat_226664,8,True,"['.png', '.jpg']"
cat_226665,4,True,"['.png', '.jpg']"
cat_226667,8,True,"['.png', '.jpg']"
cat_226668,9,True,"['.png', '.jpg']"
cat_226670,7,True,"['.png', '.jpg']"
cat_226671,8,True,"['.png', '.jpg']"
cat_226675,9,True,"['.png', '.jpg']"
cat_226678,8,True,"['.png', '.jpg']"
cat_226679,8,True,"['.png', '.jpg']"
cat_226685,8,True,"['.png', '.jpg']"
cat_226687,7,True,"['.png', '.jpg']"
cat_226690,6,True,"['.png', '.jpg']"
cat_226695,9,True,"['.png', '.jpg']"
cat_226700,7,True,"['.png', '.jpg']"
cat_226704,9,True,"['.png', '.jpg']"
cat_226705,9,True,"['.png', '.jpg']"
cat_226710,9,True,"['.png', '.jpg']"
cat_226713,7,True,"['.png', '.jpg']"
cat_226715,5,True,"['.png', '.jpg']"
cat_226717,6,True,"['.png', '.jpg']"
cat_226720,9,True,"['.png', '.jpg']"
cat_226730,8,True,"['.png', '.jpg']"
cat_226735,9,True,"['.png', '.jpg']"
cat_226740,7,True,"['.png', '.jpg']"
cat_226750,9,True,"['.png', '.jpg']"
cat_226754,5,True,"['.png', '.jpg']"
cat_226755,5,True,"['.png', '.jpg']"
cat_226756,6,True,"['.png', '.jpg']"
cat_226757,7,True,"['.png', '.jpg']"
cat_226758,7,True,"['.png', '.jpg']"
cat_226760,6,True,"['.png', '.jpg']"
cat_226765,9,True,"['.png', '.jpg']"
cat_226770,7,True,"['.png', '.jpg']"
cat_226773,5,True,"['.png', '.jpg']"
cat_226774,6,True,"['.png', '.jpg']"
cat_226775,3,True,"['.png', '.jpg']"
cat_226776,5,True,"['.png', '.jpg']"
cat_226778,5,True,"['.png', '.jpg']"
cat_226779,5,True,"['.png', '.jpg']"
cat_226780,5,True,"['.png', '.jpg']"
cat_226781,6,True,"['.png', '.jpg']"
cat_226782,5,True,"['.png', '.jpg']"
cat_226784,6,True,"['.png', '.jpg']"
cat_226785,5,True,"['.png', '.jpg']"
cat_226786,5,True,"['.png', '.jpg']"
cat_226787,4,True,"['.png', '.jpg']"
cat_226788,6,True,"['.png', '.jpg']"
cat_226789,9,True,"['.png', '.jpg']"
cat_226790,8,True,"['.png', '.jpg']"
cat_226791,8,True,"['.png', '.jpg']"
cat_226792,6,True,"['.png', '.jpg']"
cat_226793,9,True,"['.png', '.jpg']"
cat_226794,9,True,"['.png', '.jpg']"
cat_226795,4,True,"['.png', '.jpg']"
cat_226796,5,True,"['.png', '.jpg']"
cat_226797,5,True,"['.png', '.jpg']"
cat_226798,4,True,"['.png', '.jpg']"
cat_226799,6,True,"['.png', '.jpg']"
cat_226800,6,True,"['.png', '.jpg']"
cat_226801,9,True,"['.png', '.jpg']"
cat_226802,7,True,"['.png', '.jpg']"
cat_226803,7,True,"['.png', '.jpg']"
cat_226805,12,True,"['.png', '.jpg']"
cat_226810,12,True,"['.png', '.jpg']"
